anio;nivel_agregacion;unidad_territorial;tipo_institucion_ract;monto_inversion;monto_inversion_constante_2004
2021;Provincia;Santa Fe;OCT;4489.00;67.00
2021;Provincia;Santiago del Estero;OCT;521.00;7.80
2021;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;OCT;384.40;5.70
2021;Provincia;Tucumán;OCT;2529.00;37.70
2021;Provincia;Buenos Aires;Empresa;28036.70;418.40
2021;Provincia;Catamarca;Empresa;19.90;0.30
2021;Provincia;Chaco;Empresa;290.70;4.30
2021;Provincia;Chubut;Empresa;301.50;4.50
2021;Provincia;C.A.B.A.;Empresa;40068.90;598.00
2021;Provincia;Córdoba;Empresa;9566.60;142.80
2021;Provincia;Corrientes;Empresa;152.50;2.30
2021;Provincia;Entre Ríos;Empresa;773.10;11.50
2021;Provincia;Formosa;Empresa;277.50;4.10
2021;Provincia;Jujuy;Empresa;74.60;1.10
2021;Provincia;La Pampa;Empresa;46.40;0.70
2021;Provincia;La Rioja;Empresa;238.90;3.60
2021;Provincia;Mendoza;Empresa;1632.00;24.40
2021;Provincia;Misiones;Empresa;142.60;2.10
2021;Provincia;Neuquén;Empresa;175.00;2.60
2021;Provincia;Río Negro;Empresa;1797.40;26.80
2021;Provincia;Salta;Empresa;350.40;5.20
2021;Provincia;San Juan;Empresa;210.00;3.10
2021;Provincia;San Luis;Empresa;699.30;10.40
2021;Provincia;Santa Cruz;Empresa;22.60;0.30
2021;Provincia;Santa Fe;Empresa;8528.70;127.30
2021;Provincia;Santiago del Estero;Empresa;84.70;1.30
2021;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;Empresa;164.70;2.50
2021;Provincia;Tucumán;Empresa;1684.60;25.10
2022;Provincia;Buenos Aires;ESFL;1105.70;9.70
2022;Provincia;Catamarca;ESFL;0.00;0.00
2022;Provincia;Chaco;ESFL;18.00;0.20
2022;Provincia;Chubut;ESFL;67.80;0.60
2022;Provincia;C.A.B.A.;ESFL;4552.60;40.00
2022;Provincia;Córdoba;ESFL;136.00;1.20
2022;Provincia;Corrientes;ESFL;0.00;0.00
2022;Provincia;Entre Ríos;ESFL;0.00;0.00
2022;Provincia;Formosa;ESFL;25.20;0.20
2022;Provincia;Jujuy;ESFL;0.00;0.00
2022;Provincia;La Pampa;ESFL;0.00;0.00
2022;Provincia;La Rioja;ESFL;0.00;0.00
2022;Provincia;Mendoza;ESFL;53.40;0.50
2022;Provincia;Misiones;ESFL;72.50;0.60
2022;Provincia;Neuquén;ESFL;59.00;0.50
2022;Provincia;Río Negro;ESFL;43.20;0.40
2022;Provincia;Salta;ESFL;263.10;2.30
2022;Provincia;San Juan;ESFL;0.90;0.00
2022;Provincia;San Luis;ESFL;0.00;0.00
2022;Provincia;Santa Cruz;ESFL;35.00;0.30
2022;Provincia;Santa Fe;ESFL;97.90;0.90
2022;Provincia;Santiago del Estero;ESFL;69.50;0.60
2022;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;ESFL;18.00;0.20
2022;Provincia;Tucumán;ESFL;0.00;0.00
2022;Provincia;Buenos Aires;UPUB;29682.40;260.80
2022;Provincia;Catamarca;UPUB;931.70;8.20
2022;Provincia;Chaco;UPUB;1161.30;10.20
2022;Provincia;Chubut;UPUB;1057.00;9.30
2022;Provincia;C.A.B.A.;UPUB;16902.10;148.50
2022;Provincia;Córdoba;UPUB;6554.80;57.60
2022;Provincia;Corrientes;UPUB;1135.90;10.00
2022;Provincia;Entre Ríos;UPUB;1732.10;15.20
2022;Provincia;Formosa;UPUB;459.80;4.00
2022;Provincia;Jujuy;UPUB;1911.40;16.80
2022;Provincia;La Pampa;UPUB;830.50;7.30
2022;Provincia;La Rioja;UPUB;749.40;6.60
2022;Provincia;Mendoza;UPUB;1607.20;14.10
2022;Provincia;Misiones;UPUB;1329.20;11.70
2022;Provincia;Neuquén;UPUB;793.90;7.00
2022;Provincia;Río Negro;UPUB;1208.40;10.60
